,age_years,size,weight_kg,breed_group,intake_type,days_in_shelter,previously_returned,medical_needs,neutered,aggression_score,anxiety_separation,reactivity_to_dogs,energy_level,training_level,house_trained,first_time_owner,household_has_kids,household_has_pets,home_type,has_yard,hours_alone_per_day,adopter_activity_level,visits_before_adoption,met_resident_pets,adoption_counseling,expectation_score,energy_mismatch,size_home_mismatch
29620,0.9,small,7.7,terrier,owner_surrender,16,0,none,0,7.7,3.6,3.0,7.7,4.2,1,0,1,0,house_owned,1,10.0,1.5,3,0,0,6.0,6.2,0
27889,6.6,small,5.4,mixed,transfer,37,0,none,1,0.2,4.6,2.0,7.1,6.4,0,0,0,1,apartment,0,6.5,3.8,1,0,0,6.2,3.3,0
21313,5.7,small,6.1,terrier,stray,15,0,none,1,0.0,1.9,1.4,4.5,7.1,1,0,1,0,house_owned,1,4.5,7.7,1,0,0,3.6,3.2,0
1952,1.1,small,7.8,sporting,stray,6,0,none,1,0.0,4.4,4.9,7.8,7.5,1,0,0,0,house_owned,1,10.2,6.0,2,0,0,8.1,1.8,0
38041,4.4,medium,13.0,mixed,stray,23,1,none,1,0.8,1.4,6.2,8.9,5.8,0,0,0,0,apartment,0,4.2,5.8,3,0,1,7.7,3.1,0
5168,3.9,small,7.4,mixed,born_in_care,33,0,minor,1,7.5,5.6,1.8,6.3,0.3,0,1,0,1,house_rented,1,5.0,3.5,2,0,1,4.3,2.8,0
10791,1.3,large,32.4,herding,transfer,27,1,none,1,2.0,10.0,3.8,8.7,3.5,0,0,0,1,house_owned,1,3.4,6.2,1,0,1,8.3,2.5,0
11235,6.5,large,32.4,mixed,transfer,13,0,none,1,3.0,8.7,6.1,7.4,3.3,1,1,0,1,apartment,0,4.2,5.3,2,1,0,5.5,2.1,1
5934,3.2,medium,16.4,hound,owner_surrender,19,0,none,1,0.0,2.6,3.5,10.0,1.6,1,0,0,0,house_owned,1,8.1,7.1,2,0,0,6.8,2.9,0
39149,4.5,xlarge,55.8,mixed,transfer,38,0,none,1,4.3,1.6,2.2,8.6,7.7,1,0,0,1,house_owned,0,8.4,10.0,2,1,1,3.6,1.4,0
30750,0.2,large,35.9,herding,stray,40,1,none,1,2.0,4.7,3.6,7.4,3.5,0,0,0,1,apartment,0,6.9,6.5,1,1,0,7.3,0.9,1
22601,0.4,large,32.5,mixed,owner_surrender,67,0,none,1,1.9,5.0,5.5,6.7,5.2,0,1,0,1,house_owned,1,5.4,9.7,1,1,1,6.4,3.0,0
29081,0.4,xlarge,45.9,working,transfer,5,0,minor,1,2.4,5.8,4.6,7.2,3.9,0,0,1,1,house_owned,1,1.7,3.3,2,1,0,5.4,3.9,0
1376,7.3,medium,18.0,hound,owner_surrender,24,1,none,1,1.2,4.4,3.7,8.6,3.5,1,0,0,1,apartment,0,3.9,9.4,2,0,1,6.6,0.8,0
10322,4.8,xlarge,42.1,sporting,stray,62,0,none,1,2.0,8.0,0.1,5.3,6.4,0,0,1,1,house_rented,1,5.2,7.6,1,1,0,9.5,2.3,0
8378,2.5,medium,16.4,mixed,stray,12,1,none,1,3.7,10.0,3.1,7.5,3.7,0,1,1,0,apartment,0,4.3,4.9,3,0,0,5.2,2.6,0
32623,4.2,large,31.8,terrier,owner_surrender,5,0,none,1,1.4,0.9,0.9,5.3,6.1,1,1,0,0,apartment,0,7.3,6.5,2,0,0,9.1,1.2,1
40114,1.7,medium,17.8,mixed,born_in_care,75,0,none,1,3.7,3.5,2.7,5.4,5.1,1,1,0,1,apartment,0,12.1,7.3,1,1,0,3.1,1.9,0
5083,2.8,large,32.2,terrier,owner_surrender,12,0,minor,1,0.2,3.1,0.0,3.6,2.4,1,0,1,0,house_owned,1,7.0,3.9,1,0,0,6.6,0.3,0
12033,2.5,small,6.9,sporting,stray,12,0,none,1,0.2,3.3,1.1,4.8,6.6,1,1,0,1,house_owned,1,4.6,2.5,2,0,1,4.1,2.3,0
39836,1.8,large,25.7,terrier,owner_surrender,102,0,chronic,1,6.7,4.5,6.2,6.6,3.0,0,0,0,1,house_owned,1,7.5,10.0,1,0,0,6.3,3.4,0
18708,1.7,large,29.8,mixed,stray,23,0,none,1,3.8,8.6,5.6,10.0,5.5,1,1,1,0,house_owned,1,3.5,4.1,1,0,0,8.0,5.9,0
21438,3.9,small,6.9,hound,transfer,32,0,none,1,1.3,2.8,4.4,8.7,7.2,1,0,0,0,house_owned,1,8.4,6.3,2,0,0,7.8,2.4,0
12036,1.1,small,12.1,sporting,stray,26,0,none,1,3.4,6.4,3.8,10.0,1.6,1,1,1,0,house_owned,1,2.7,6.8,2,0,0,8.3,3.2,0
2498,8.7,large,36.1,mixed,owner_surrender,34,1,minor,1,5.3,5.0,4.6,7.9,0.9,1,0,1,1,apartment,0,7.6,2.7,2,0,0,6.9,5.2,1
8793,3.6,small,6.8,hound,stray,11,0,none,1,0.0,0.3,4.1,6.1,0.0,0,1,0,0,apartment,0,3.5,6.6,1,0,0,7.8,0.5,0
2613,4.5,medium,20.6,toy,stray,30,0,chronic,1,1.4,4.0,0.0,2.9,6.3,1,1,1,1,house_owned,1,1.8,6.4,2,1,0,4.4,3.5,0
1641,5.6,small,7.6,herding,stray,75,0,none,1,0.0,2.1,1.2,8.1,3.3,1,0,0,0,house_rented,1,10.3,1.7,1,0,0,8.0,6.4,0
13142,1.9,large,33.0,mixed,stray,28,0,minor,1,2.8,5.0,8.0,9.5,2.2,1,0,0,1,house_rented,1,8.2,4.8,2,0,0,3.8,4.7,0
6948,3.2,large,29.0,hound,stray,8,0,chronic,1,1.7,4.9,2.9,6.1,3.0,1,0,0,1,house_owned,1,1.4,6.7,2,0,1,3.5,0.6,0
32108,6.2,medium,17.5,mixed,transfer,59,1,none,1,1.2,5.2,6.0,9.4,5.7,0,1,1,0,apartment,0,6.9,0.6,1,0,1,7.5,8.8,0
30862,2.4,xlarge,44.3,mixed,owner_surrender,40,0,none,1,1.1,6.6,0.6,7.3,3.1,0,0,0,1,house_owned,0,2.1,7.4,1,1,0,5.7,0.1,0
22040,0.9,medium,24.4,terrier,owner_surrender,52,1,none,1,4.9,4.7,7.6,5.9,4.2,0,0,0,0,house_owned,1,10.7,5.1,1,0,1,5.5,0.8,0
26440,2.0,large,29.4,mixed,owner_surrender,66,1,chronic,1,0.6,4.1,7.4,7.9,4.9,0,0,0,0,apartment,0,7.4,4.8,1,0,0,4.8,3.1,1
13567,2.4,large,29.5,mixed,stray,23,0,none,1,2.7,6.5,4.0,5.1,4.7,0,0,1,1,house_rented,1,6.1,5.7,1,0,0,5.9,0.6,0
18637,5.1,medium,16.1,mixed,owner_surrender,5,0,none,1,2.9,3.1,5.5,6.1,2.2,0,1,0,0,house_owned,0,3.2,5.0,4,0,0,4.3,1.1,0
32914,7.4,small,8.5,herding,stray,8,0,none,1,6.9,3.5,2.4,7.8,3.4,0,0,0,0,apartment,1,2.3,5.3,1,0,1,8.7,2.5,0
29751,2.7,small,8.6,hound,stray,22,1,none,1,2.4,9.6,1.5,8.3,1.7,1,1,1,1,apartment,0,11.7,3.6,2,1,0,5.0,4.7,0
11323,0.6,medium,24.0,toy,transfer,23,0,none,1,4.9,4.8,6.5,6.5,9.6,0,1,1,0,house_rented,1,6.6,4.6,1,0,0,8.0,1.9,0
5569,3.5,small,5.2,hound,owner_surrender,24,0,minor,1,1.9,6.4,1.3,9.1,5.1,0,0,1,1,apartment,0,4.4,7.0,1,0,1,4.6,2.1,0
41807,4.1,medium,13.6,mixed,owner_surrender,9,1,minor,1,1.9,5.3,5.5,8.4,5.9,0,0,0,1,house_rented,1,3.7,2.1,2,0,0,4.5,6.3,0
26597,3.5,small,7.4,mixed,owner_surrender,46,0,none,1,4.8,2.4,2.2,4.4,6.4,1,1,1,1,apartment,0,9.1,5.3,3,1,0,7.8,0.9,0
36130,1.0,small,6.7,mixed,stray,32,0,none,1,4.2,2.0,5.6,3.9,3.1,0,1,0,1,house_owned,1,7.2,3.5,1,0,0,9.2,0.4,0
15431,5.0,medium,20.0,terrier,transfer,71,0,none,1,1.0,4.8,0.9,6.0,5.8,0,1,1,1,apartment,0,8.1,8.7,1,0,1,9.6,2.7,0
17388,0.2,small,8.4,mixed,owner_surrender,14,0,none,1,2.1,0.0,1.3,5.8,3.0,1,0,0,1,house_owned,1,6.1,10.0,3,0,0,7.6,4.2,0
33195,4.0,small,4.5,mixed,transfer,6,0,none,1,3.6,7.9,5.3,5.3,6.6,1,0,0,1,house_owned,1,6.7,8.7,1,1,0,3.9,3.4,0
7816,2.4,medium,20.0,terrier,stray,17,0,minor,1,0.6,4.8,0.6,7.5,8.5,1,1,0,0,apartment,0,9.2,6.7,3,0,0,9.2,0.8,0
7361,4.1,medium,21.2,mixed,stray,13,0,none,1,5.0,2.2,7.1,8.0,4.7,0,0,1,0,house_owned,1,9.6,5.4,1,0,0,4.9,2.6,0
37970,7.0,small,5.9,herding,stray,61,1,chronic,1,2.3,5.9,7.2,8.6,4.7,0,0,1,0,house_rented,1,5.1,7.2,2,0,1,5.7,1.4,0
23599,10.8,medium,23.7,sporting,stray,24,0,none,1,5.9,4.2,4.4,9.1,2.6,0,1,0,0,apartment,0,9.7,6.6,1,0,1,9.0,2.5,0
5,4.9,medium,14.5,working,stray,44,0,none,1,1.1,0.9,6.7,6.5,2.8,0,1,1,1,house_owned,1,6.5,6.1,2,1,1,6.6,0.4,0
21445,5.7,small,8.0,herding,stray,20,0,chronic,0,2.4,6.6,7.7,4.1,2.6,0,0,0,1,house_owned,0,14.0,3.9,1,0,0,5.0,0.2,0
7272,3.7,small,5.1,working,stray,40,0,none,1,3.0,2.4,4.8,5.0,4.4,0,1,1,0,apartment,0,6.3,7.0,1,0,1,9.2,2.0,0
14922,2.2,large,36.8,sporting,owner_surrender,44,0,none,1,1.6,0.0,3.3,8.8,0.0,0,1,0,1,house_rented,1,4.6,6.8,2,0,1,4.4,2.0,0
22052,2.0,xlarge,48.8,hound,owner_surrender,4,0,chronic,1,1.3,2.8,1.1,5.1,4.8,0,0,0,1,house_rented,1,6.9,8.7,2,0,0,5.9,3.6,0
11177,3.6,medium,24.5,terrier,stray,8,0,none,1,1.4,2.7,4.1,4.4,6.7,0,0,0,1,house_owned,1,5.3,6.3,1,0,0,5.0,1.9,0
37125,1.7,large,30.2,mixed,owner_surrender,148,1,none,1,4.2,3.7,4.4,4.9,1.1,0,0,0,1,house_owned,1,2.2,10.0,1,0,1,5.0,5.1,0
33009,1.1,small,8.2,mixed,stray,54,0,none,1,5.3,2.7,4.4,6.9,5.8,1,0,0,1,apartment,0,7.7,10.0,2,0,1,6.9,3.1,0
29170,1.6,medium,16.9,terrier,stray,20,0,none,1,5.8,4.5,7.1,6.4,2.8,1,1,0,0,house_owned,1,11.8,7.4,2,0,1,5.9,1.0,0
35350,7.2,large,29.6,sporting,stray,34,0,chronic,1,5.4,3.9,0.6,3.1,8.7,1,0,1,1,house_rented,0,5.1,7.8,1,0,0,9.1,4.7,0
14647,3.3,large,33.7,terrier,stray,11,0,minor,1,6.1,4.2,4.5,5.1,5.8,0,0,1,1,apartment,0,3.5,5.7,3,0,1,7.4,0.6,1
2575,6.8,medium,18.7,mixed,stray,2,0,none,0,0.0,5.0,2.7,8.1,5.9,0,1,0,1,house_owned,1,6.5,6.3,1,0,0,10.0,1.8,0
18939,2.6,medium,12.1,herding,stray,68,0,minor,0,1.3,2.3,4.9,3.8,3.7,1,1,0,1,house_rented,1,0.0,4.6,2,0,1,5.4,0.8,0
12806,2.0,small,7.1,herding,stray,80,0,none,1,3.6,6.6,5.9,4.7,5.7,0,0,1,0,house_owned,1,6.0,3.7,1,0,0,7.9,1.0,0
21441,1.3,large,23.5,working,stray,7,0,none,1,0.0,0.0,7.0,4.5,5.2,1,0,0,0,house_owned,1,4.1,9.8,2,0,0,7.8,5.3,0
5315,0.3,medium,21.4,mixed,owner_surrender,10,0,none,1,1.3,3.0,5.3,6.7,3.7,0,0,0,1,house_rented,1,3.6,4.3,1,0,1,6.8,2.4,0
39328,0.6,medium,18.3,toy,owner_surrender,69,0,minor,0,2.8,5.6,1.0,3.7,5.8,1,0,0,1,house_owned,0,4.7,4.9,2,1,1,5.8,1.2,0
20184,1.4,large,29.9,mixed,owner_surrender,6,0,none,1,4.7,6.0,4.6,4.5,5.4,0,1,0,0,house_rented,1,4.1,4.7,1,0,0,4.0,0.2,0
15790,1.7,medium,25.2,hound,stray,7,0,none,1,2.3,4.6,3.5,6.0,1.3,0,0,1,1,house_owned,0,7.3,6.8,1,1,0,6.3,0.8,0
5057,1.7,medium,12.1,working,owner_surrender,101,0,minor,1,0.0,5.4,1.8,6.2,7.8,0,1,0,0,house_rented,1,5.3,5.8,3,0,1,6.1,0.4,0
32838,1.2,xlarge,33.2,herding,owner_surrender,21,0,none,1,0.0,1.7,0.5,5.9,2.0,0,0,1,0,apartment,0,8.5,6.6,1,0,0,8.1,0.7,1
18322,0.8,medium,15.2,hound,owner_surrender,54,0,none,1,0.3,6.3,2.3,7.1,6.0,0,1,0,1,apartment,0,6.7,3.5,3,0,0,9.6,3.6,0
27420,7.2,large,33.1,toy,owner_surrender,24,0,none,1,4.5,3.4,3.9,1.6,0.0,0,1,0,1,house_owned,1,5.2,10.0,4,0,0,6.1,8.4,0
38509,1.1,large,31.8,working,owner_surrender,30,0,none,1,0.2,3.9,3.5,5.8,2.5,1,0,1,0,house_owned,1,6.9,9.3,1,0,0,1.0,3.5,0
24929,4.1,small,8.2,mixed,owner_surrender,40,0,none,1,0.0,0.3,0.4,3.1,0.0,1,0,0,0,house_owned,1,6.7,7.2,1,0,0,6.9,4.1,0
14761,9.2,medium,23.7,mixed,transfer,36,0,chronic,1,2.5,1.0,8.6,4.3,2.4,1,0,0,0,house_owned,1,9.8,6.0,2,0,0,8.9,1.7,0
35192,1.5,large,33.3,terrier,transfer,35,0,none,1,4.2,0.0,0.0,6.2,7.2,1,0,1,1,apartment,1,4.8,4.3,3,0,0,4.2,1.9,1
32040,4.5,large,29.9,sporting,stray,30,0,none,1,1.1,4.7,2.4,6.2,7.2,0,0,0,1,house_owned,1,4.0,1.8,2,1,0,8.5,4.4,0
38490,6.7,small,4.9,sporting,owner_surrender,60,0,none,1,3.3,5.8,2.6,6.0,3.2,1,1,0,0,house_rented,1,6.4,4.7,1,0,0,6.4,1.3,0
21191,0.9,small,9.0,toy,stray,29,0,none,1,5.4,5.0,4.1,8.5,1.9,0,1,0,1,apartment,0,0.0,5.3,1,1,0,6.5,3.2,0
10212,3.6,medium,14.7,terrier,owner_surrender,102,0,none,1,3.7,4.5,1.2,7.2,7.4,1,0,0,0,house_rented,1,5.9,8.4,1,0,1,8.6,1.2,0
32538,6.4,large,26.0,toy,stray,11,0,none,1,0.0,3.8,0.0,2.8,2.9,0,1,1,1,house_owned,0,12.3,0.0,1,0,1,5.5,2.8,0
26563,4.1,xlarge,25.6,toy,owner_surrender,16,0,none,0,5.0,4.4,0.3,5.3,2.8,0,1,0,1,apartment,0,4.5,8.0,1,0,0,6.2,2.7,1
9251,2.7,large,32.3,toy,stray,52,0,minor,1,3.6,1.6,4.8,6.7,3.6,0,1,0,0,apartment,1,7.5,4.9,1,0,1,8.7,1.8,1
399,3.8,xlarge,54.4,hound,owner_surrender,11,0,none,1,1.5,1.3,2.2,6.2,1.3,0,0,0,0,house_owned,1,3.4,6.6,1,0,0,5.5,0.4,0
28705,3.7,small,9.7,working,stray,17,0,none,1,0.4,4.4,0.8,4.8,5.6,0,1,0,0,apartment,0,6.5,1.9,1,0,0,7.8,2.9,0
33138,6.8,small,5.6,terrier,born_in_care,28,0,none,0,5.7,5.5,2.1,1.3,3.2,1,0,1,0,house_rented,1,5.1,7.3,1,0,1,7.6,6.0,0
4554,2.6,small,7.3,hound,stray,9,0,none,1,5.0,6.3,5.1,5.2,6.4,0,0,0,0,house_owned,1,6.2,9.6,1,0,0,9.8,4.4,0
31834,1.0,medium,12.8,mixed,stray,17,0,none,1,2.8,9.4,3.2,7.1,2.8,1,0,0,0,apartment,0,7.0,3.4,2,0,1,3.5,3.7,0
34237,5.7,small,6.0,terrier,stray,5,0,none,1,0.9,3.9,0.4,7.9,4.3,0,1,1,0,apartment,0,2.9,3.7,2,0,0,4.1,4.2,0
20415,3.4,large,22.0,mixed,stray,99,0,minor,1,1.3,1.3,2.1,6.7,10.0,1,1,0,0,house_owned,0,6.5,7.8,1,0,0,8.0,1.1,0
9349,3.7,large,20.0,sporting,owner_surrender,7,0,none,1,3.0,4.2,1.5,4.4,4.3,0,0,0,1,house_owned,1,12.3,6.2,1,1,0,7.2,1.8,0
36737,3.4,xlarge,37.8,toy,stray,12,1,none,1,1.5,0.0,0.0,4.3,6.8,1,1,0,0,apartment,0,5.1,6.4,3,0,0,7.9,2.1,1
25541,3.2,large,35.9,mixed,transfer,31,0,none,1,0.0,2.7,5.5,5.8,5.1,1,0,0,1,apartment,0,7.6,6.2,2,0,0,4.3,0.4,1
17179,5.4,small,9.9,toy,owner_surrender,36,0,none,1,0.8,2.4,0.0,4.9,7.7,0,0,1,0,house_owned,1,5.8,6.1,3,0,1,6.8,1.2,0
31511,2.3,medium,20.3,sporting,owner_surrender,46,0,minor,1,0.0,8.4,0.5,6.5,4.3,0,0,1,0,house_owned,1,5.4,8.5,1,0,0,3.3,2.0,0
7633,2.7,small,8.5,working,owner_surrender,33,0,none,1,0.4,2.8,3.2,4.8,3.4,1,0,1,0,house_owned,0,10.2,9.1,3,0,1,5.7,4.3,0
35498,1.0,small,5.6,toy,stray,48,0,none,1,1.1,9.2,3.9,6.7,6.9,1,1,1,1,house_owned,1,7.5,6.6,1,0,0,7.6,0.1,0
15605,4.3,small,5.1,mixed,born_in_care,30,0,none,1,0.0,2.9,0.1,5.7,6.0,0,0,0,1,apartment,0,7.3,2.6,2,1,0,4.5,3.1,0
5857,4.8,small,5.3,herding,stray,45,0,minor,1,3.3,2.6,2.3,4.4,6.1,0,1,0,1,house_owned,1,4.9,6.5,1,0,1,5.9,2.1,0
5184,2.4,small,4.5,terrier,stray,10,1,minor,1,0.5,3.3,2.4,4.8,7.0,0,1,0,1,house_rented,1,7.1,8.3,2,1,1,10.0,3.5,0
35849,4.1,large,23.1,terrier,stray,19,0,none,1,0.1,2.0,3.7,5.2,6.3,1,1,0,0,house_owned,1,4.8,6.7,3,0,1,8.5,1.5,0
3757,1.8,xlarge,41.8,terrier,owner_surrender,29,0,none,0,3.7,3.7,2.2,7.9,6.4,1,1,0,0,apartment,0,4.6,7.2,1,0,1,7.5,0.7,1
38529,3.9,large,33.0,herding,owner_surrender,100,0,none,1,2.5,3.6,3.8,5.6,3.0,0,0,0,1,apartment,0,7.7,8.5,1,1,0,2.1,2.9,1
13171,4.8,small,7.4,sporting,owner_surrender,28,0,none,1,3.0,5.4,4.1,4.7,10.0,0,0,1,0,house_owned,0,5.0,5.2,4,0,0,6.1,0.5,0
38324,5.9,large,31.9,hound,stray,24,1,none,1,3.9,2.2,0.6,10.0,5.0,0,0,0,0,house_owned,1,7.5,2.3,1,0,0,10.0,7.7,0
2740,3.5,large,26.5,herding,transfer,38,0,none,0,0.0,2.8,4.7,5.2,1.7,0,0,0,1,house_owned,1,6.0,6.6,1,0,0,7.9,1.4,0
28590,2.1,large,18.4,mixed,owner_surrender,17,0,none,1,0.8,3.5,0.9,6.0,2.4,0,0,0,0,house_owned,1,9.6,3.6,4,0,0,7.5,2.4,0
37706,2.8,medium,18.8,mixed,transfer,24,0,none,1,3.4,5.9,2.4,5.5,10.0,1,0,1,1,house_owned,1,6.6,4.7,3,0,0,4.4,0.8,0
20914,4.4,small,8.8,mixed,owner_surrender,8,0,none,1,1.8,1.7,1.4,6.2,8.9,1,1,0,0,house_owned,1,6.7,4.8,1,0,0,5.9,1.4,0
36526,2.0,large,28.7,hound,owner_surrender,4,0,chronic,1,2.2,5.3,0.7,7.2,5.3,1,0,0,0,apartment,0,0.0,4.0,2,0,0,7.8,3.2,1
3880,4.2,large,28.0,mixed,owner_surrender,12,1,minor,1,3.0,5.0,0.0,7.8,3.9,0,1,1,1,house_owned,0,8.9,2.1,4,1,0,7.4,5.7,0
11996,10.6,small,9.0,toy,stray,72,0,none,1,4.9,4.6,4.2,5.5,2.1,0,0,1,1,house_owned,1,6.4,7.1,1,1,0,9.2,1.6,0
4941,2.2,small,10.3,hound,owner_surrender,33,0,none,1,1.5,4.8,3.9,5.4,4.0,1,0,0,0,apartment,0,8.6,10.0,1,0,0,6.5,4.6,0
41046,6.2,xlarge,42.8,sporting,stray,32,0,none,1,6.2,6.5,6.3,5.7,4.8,0,0,0,0,apartment,0,1.1,6.2,2,0,1,6.1,0.5,1
8899,4.6,small,7.1,mixed,stray,68,1,minor,1,0.6,4.1,2.1,6.1,5.2,1,1,1,1,house_owned,1,9.4,6.4,3,0,0,9.6,0.3,0
13267,2.4,small,10.6,mixed,owner_surrender,49,1,none,0,4.4,1.9,1.9,4.9,1.3,0,1,0,1,apartment,0,10.3,2.6,2,0,1,8.8,2.3,0
2418,3.7,medium,15.9,terrier,stray,70,1,none,1,0.5,0.0,3.6,7.0,3.6,1,0,0,0,apartment,0,7.3,8.1,4,0,1,4.5,1.1,0
32306,4.1,large,32.2,mixed,owner_surrender,23,0,minor,1,0.6,0.7,3.8,6.0,3.5,1,0,0,0,house_rented,0,0.4,0.0,4,0,1,8.7,6.0,0
12325,1.8,xlarge,36.6,mixed,stray,21,0,none,1,1.7,5.1,4.2,6.7,3.0,1,1,1,0,house_owned,1,5.9,5.5,1,0,1,7.9,1.2,0
12653,2.3,small,8.9,toy,stray,20,0,none,1,0.0,3.7,5.3,10.0,2.0,0,0,0,0,house_owned,1,5.5,5.2,1,0,0,8.0,4.8,0
38001,0.9,xlarge,32.2,hound,transfer,35,0,none,0,5.4,3.4,6.6,5.3,5.3,0,0,1,0,apartment,0,7.1,1.9,3,0,0,7.5,3.4,1
600,4.9,small,5.9,sporting,stray,9,0,none,1,0.0,5.5,7.7,8.4,1.7,0,0,0,0,house_owned,1,6.7,5.7,1,0,0,3.9,2.7,0
24151,1.4,small,8.3,mixed,stray,38,1,none,1,6.0,4.8,5.3,9.2,0.0,1,0,0,1,apartment,1,4.6,7.5,1,0,0,6.1,1.7,0
3663,15.1,small,5.5,herding,owner_surrender,22,0,none,1,4.1,2.8,6.3,2.9,5.0,1,1,0,0,apartment,0,6.2,5.3,1,0,1,5.3,2.4,0
18722,3.5,medium,21.4,mixed,owner_surrender,26,0,none,1,2.3,3.5,2.8,6.1,1.5,0,1,0,0,apartment,1,0.6,8.3,2,0,0,6.9,2.2,0
34718,3.7,small,8.6,mixed,stray,14,0,none,1,0.3,2.9,0.0,6.8,1.0,0,1,1,1,house_rented,0,6.1,4.9,1,1,0,5.6,1.9,0
11350,2.7,xlarge,42.6,working,stray,48,0,minor,1,4.5,5.8,3.2,7.1,8.7,1,1,1,1,house_owned,1,4.8,3.6,2,1,1,7.0,3.5,0
22943,2.0,medium,13.6,mixed,owner_surrender,11,0,none,1,2.9,5.5,5.0,6.4,1.3,1,0,0,0,house_owned,0,6.5,6.6,1,0,0,7.3,0.2,0
11963,1.8,small,5.2,sporting,stray,92,0,none,1,0.7,0.0,7.7,6.4,7.0,1,1,1,0,house_owned,1,3.8,3.5,1,0,1,6.7,2.9,0
37689,2.9,large,43.0,herding,stray,28,0,none,1,1.4,3.1,2.6,7.9,4.9,0,0,1,1,house_owned,1,2.7,3.8,2,0,0,5.7,4.1,0
39953,0.3,xlarge,48.6,mixed,born_in_care,23,0,none,1,1.5,0.0,5.5,5.9,4.0,0,1,1,0,house_owned,1,4.7,8.3,1,0,0,7.4,2.4,0
26944,1.5,medium,14.5,mixed,stray,47,0,none,1,0.0,3.7,0.0,5.0,5.5,0,1,1,0,house_owned,1,6.8,7.2,3,0,0,8.2,2.2,0
31150,2.3,small,4.6,mixed,stray,27,0,minor,1,3.4,4.7,4.4,5.4,7.1,1,0,0,1,apartment,0,6.2,2.9,2,1,1,5.4,2.5,0
21980,4.0,small,5.2,mixed,stray,73,0,minor,1,2.0,2.3,1.0,8.2,7.8,0,0,0,0,apartment,0,2.7,3.9,4,0,1,5.8,4.3,0
27176,1.7,large,34.3,mixed,owner_surrender,8,0,none,1,1.2,4.0,2.3,1.5,4.1,0,1,0,0,house_rented,1,5.4,4.8,1,0,0,7.2,3.3,0
38172,2.7,medium,24.2,sporting,stray,116,0,none,0,0.0,2.8,1.0,4.8,2.5,1,0,1,1,house_owned,1,7.1,0.4,1,0,1,7.1,4.4,0
31994,1.1,medium,16.5,working,stray,48,0,none,1,0.2,4.2,4.1,7.1,5.8,0,0,1,1,house_owned,1,6.6,3.6,1,1,1,5.9,3.5,0
21658,4.2,small,2.4,sporting,owner_surrender,31,0,none,1,1.3,1.6,3.4,5.0,3.0,0,0,0,1,house_rented,0,3.7,7.4,2,0,0,7.2,2.4,0
41946,1.5,large,32.0,mixed,transfer,15,0,none,1,0.0,0.6,1.7,8.0,6.2,0,1,0,1,house_owned,0,7.8,6.0,2,0,0,4.7,2.0,0
20361,5.5,small,6.7,mixed,owner_surrender,20,0,minor,1,0.2,0.7,5.1,5.3,6.3,1,0,0,1,house_rented,1,14.0,2.8,3,0,0,4.0,2.5,0
26588,0.6,small,7.7,hound,stray,31,0,none,1,2.5,2.3,5.3,6.1,3.8,0,0,0,1,house_owned,1,6.1,5.5,1,0,0,5.7,0.6,0
17008,12.1,large,35.7,herding,owner_surrender,32,0,none,1,0.0,4.6,4.5,2.9,4.1,0,1,1,0,apartment,0,7.3,7.2,1,0,0,4.2,4.3,1
15715,0.6,small,4.0,toy,owner_surrender,24,0,none,0,8.3,3.6,4.0,4.1,0.9,0,0,1,0,house_owned,1,10.8,4.9,2,0,1,7.1,0.8,0
31076,3.0,large,24.2,terrier,stray,47,0,none,1,0.6,4.7,1.4,6.4,4.6,0,0,0,0,apartment,1,4.8,4.8,3,0,0,8.8,1.6,1
5498,11.4,medium,14.2,terrier,owner_surrender,27,0,none,1,3.9,7.4,2.2,5.5,1.2,1,0,0,1,house_rented,0,5.5,3.6,1,0,1,3.2,1.9,0
14176,1.4,small,9.2,herding,owner_surrender,60,0,none,1,0.8,3.7,2.9,9.5,4.7,1,1,0,1,apartment,0,3.7,5.4,1,1,0,6.5,4.1,0
16236,4.2,small,7.5,toy,born_in_care,88,0,none,1,7.2,1.7,5.7,7.3,7.5,0,0,0,0,house_owned,1,7.8,3.1,2,0,1,6.2,4.2,0
33523,2.0,medium,19.3,mixed,transfer,18,0,none,1,0.1,2.1,0.4,7.5,5.4,1,0,1,1,house_owned,1,1.0,3.0,2,0,0,6.7,4.5,0
34929,10.7,large,33.3,herding,transfer,69,0,minor,1,7.0,0.0,7.4,3.4,1.0,0,1,1,1,house_owned,1,9.6,4.2,2,1,1,7.4,0.8,0
5886,7.9,medium,22.6,terrier,stray,44,0,none,1,3.0,6.5,4.6,6.8,5.5,1,1,1,1,apartment,0,4.8,2.8,1,1,1,7.4,4.0,0
9019,5.0,small,7.0,toy,stray,10,0,none,0,1.1,2.0,0.0,4.0,3.9,0,0,0,1,house_owned,1,5.5,4.0,2,1,0,7.1,0.0,0
30824,6.7,medium,13.7,herding,owner_surrender,20,0,chronic,1,3.4,3.4,1.9,7.9,5.4,0,0,1,0,apartment,1,10.8,10.0,2,0,0,5.4,2.1,0
31022,3.7,small,6.2,hound,stray,36,0,none,1,2.9,7.8,4.9,7.8,3.7,1,1,1,1,apartment,0,3.0,3.3,2,0,1,8.1,4.5,0
35101,5.7,small,6.0,mixed,owner_surrender,11,0,none,1,0.0,5.3,3.8,3.8,7.5,1,0,0,0,house_owned,1,7.6,1.9,1,0,0,5.0,1.9,0
